"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|CZ","Actual Total Load [MW] - BZN|CZ"
"22.09.2022 15:00 - 22.09.2022 16:00","7908","7771"
"22.09.2022 16:00 - 22.09.2022 17:00","7845","7642"
"22.09.2022 17:00 - 22.09.2022 18:00","7779","7673"
"22.09.2022 18:00 - 22.09.2022 19:00","7691","7627"
"22.09.2022 19:00 - 22.09.2022 20:00","8020","7984"
"22.09.2022 20:00 - 22.09.2022 21:00","7697","7721"
"22.09.2022 21:00 - 22.09.2022 22:00","7191","7258"
"22.09.2022 22:00 - 22.09.2022 23:00","6785","6869"
"22.09.2022 23:00 - 23.09.2022 00:00","6372","6447"
"23.09.2022 00:00 - 23.09.2022 01:00","6059","6159"
"23.09.2022 01:00 - 23.09.2022 02:00","6078","6185"
"23.09.2022 02:00 - 23.09.2022 03:00","5966","6053"
"23.09.2022 03:00 - 23.09.2022 04:00","5894","5885"
"23.09.2022 04:00 - 23.09.2022 05:00","6046","6005"
"23.09.2022 05:00 - 23.09.2022 06:00","6532","6526"
"23.09.2022 06:00 - 23.09.2022 07:00","7568","7625"
"23.09.2022 07:00 - 23.09.2022 08:00","8006","8073"
"23.09.2022 08:00 - 23.09.2022 09:00","8167","8220"
"23.09.2022 09:00 - 23.09.2022 10:00","8246","8235"
"23.09.2022 10:00 - 23.09.2022 11:00","8188","7999"
"23.09.2022 11:00 - 23.09.2022 12:00","8147","7971"
"23.09.2022 12:00 - 23.09.2022 13:00","8125","7929"
"23.09.2022 13:00 - 23.09.2022 14:00","8002","7771"
"23.09.2022 14:00 - 23.09.2022 15:00","7748","7558"
"23.09.2022 15:00 - 23.09.2022 16:00","7681","7542"
"23.09.2022 16:00 - 23.09.2022 17:00","7588","7460"
"23.09.2022 17:00 - 23.09.2022 18:00","7495","7470"
"23.09.2022 18:00 - 23.09.2022 19:00","7423","7446"
"23.09.2022 19:00 - 23.09.2022 20:00","7703","7739"
"23.09.2022 20:00 - 23.09.2022 21:00","7354","7417"
"23.09.2022 21:00 - 23.09.2022 22:00","6805","6909"
"23.09.2022 22:00 - 23.09.2022 23:00","6346","6364"
"23.09.2022 23:00 - 24.09.2022 00:00","5942","5977"
"24.09.2022 00:00 - 24.09.2022 01:00","5571","5597"
"24.09.2022 01:00 - 24.09.2022 02:00","5473","5453"
"24.09.2022 02:00 - 24.09.2022 03:00","5438","5483"
"24.09.2022 03:00 - 24.09.2022 04:00","5384","5494"
"24.09.2022 04:00 - 24.09.2022 05:00","5421","5527"
"24.09.2022 05:00 - 24.09.2022 06:00","5524","5545"
"24.09.2022 06:00 - 24.09.2022 07:00","5816","5850"
"24.09.2022 07:00 - 24.09.2022 08:00","6128","6207"
"24.09.2022 08:00 - 24.09.2022 09:00","6476","6554"
"24.09.2022 09:00 - 24.09.2022 10:00","6755","6807"
"24.09.2022 10:00 - 24.09.2022 11:00","6888","6933"
"24.09.2022 11:00 - 24.09.2022 12:00","6932","6955"
"24.09.2022 12:00 - 24.09.2022 13:00","6761","6805"
"24.09.2022 13:00 - 24.09.2022 14:00","6604","6667"
"24.09.2022 14:00 - 24.09.2022 15:00","6418","6547"
"24.09.2022 15:00 - 24.09.2022 16:00","6335","6462"
"24.09.2022 16:00 - 24.09.2022 17:00","6255","6395"
"24.09.2022 17:00 - 24.09.2022 18:00","6142","6254"
"24.09.2022 18:00 - 24.09.2022 19:00","6245","6371"
"24.09.2022 19:00 - 24.09.2022 20:00","6586","6690"
"24.09.2022 20:00 - 24.09.2022 21:00","6356","6506"
"24.09.2022 21:00 - 24.09.2022 22:00","6034","6141"
"24.09.2022 22:00 - 24.09.2022 23:00","5784","5905"
"24.09.2022 23:00 - 25.09.2022 00:00","5442","5606"
"25.09.2022 00:00 - 25.09.2022 01:00","5193","5271"
"25.09.2022 01:00 - 25.09.2022 02:00","5083","5168"
"25.09.2022 02:00 - 25.09.2022 03:00","5049","5155"
"25.09.2022 03:00 - 25.09.2022 04:00","5012","5148"
"25.09.2022 04:00 - 25.09.2022 05:00","5041","5162"
"25.09.2022 05:00 - 25.09.2022 06:00","5044","5159"
"25.09.2022 06:00 - 25.09.2022 07:00","5232","5331"
"25.09.2022 07:00 - 25.09.2022 08:00","5499","5595"
"25.09.2022 08:00 - 25.09.2022 09:00","5949","6048"
"25.09.2022 09:00 - 25.09.2022 10:00","6389","6450"
"25.09.2022 10:00 - 25.09.2022 11:00","6643","6732"
"25.09.2022 11:00 - 25.09.2022 12:00","6800","6830"
"25.09.2022 12:00 - 25.09.2022 13:00","6638","6625"
"25.09.2022 13:00 - 25.09.2022 14:00","6518","6486"
"25.09.2022 14:00 - 25.09.2022 15:00","6392","6383"
"25.09.2022 15:00 - 25.09.2022 16:00","6389","6362"
"25.09.2022 16:00 - 25.09.2022 17:00","6371","6303"
"25.09.2022 17:00 - 25.09.2022 18:00","6325","6291"
"25.09.2022 18:00 - 25.09.2022 19:00","6549","6496"
"25.09.2022 19:00 - 25.09.2022 20:00","6851","6792"
"25.09.2022 20:00 - 25.09.2022 21:00","6662","6588"
"25.09.2022 21:00 - 25.09.2022 22:00","6360","6294"
"25.09.2022 22:00 - 25.09.2022 23:00","6204","6174"
"25.09.2022 23:00 - 26.09.2022 00:00","5886","5846"
"26.09.2022 00:00 - 26.09.2022 01:00","5767","5639"
"26.09.2022 01:00 - 26.09.2022 02:00","5791","5707"
"26.09.2022 02:00 - 26.09.2022 03:00","5671","5584"
"26.09.2022 03:00 - 26.09.2022 04:00","5586","5527"
"26.09.2022 04:00 - 26.09.2022 05:00","5707","5665"
"26.09.2022 05:00 - 26.09.2022 06:00","6226","6173"
"26.09.2022 06:00 - 26.09.2022 07:00","7333","7262"
"26.09.2022 07:00 - 26.09.2022 08:00","7823","7788"
"26.09.2022 08:00 - 26.09.2022 09:00","8054","8022"
"26.09.2022 09:00 - 26.09.2022 10:00","8193","8178"
"26.09.2022 10:00 - 26.09.2022 11:00","8115","8097"
"26.09.2022 11:00 - 26.09.2022 12:00","8126","8091"
"26.09.2022 12:00 - 26.09.2022 13:00","8168","8140"
"26.09.2022 13:00 - 26.09.2022 14:00","8056","8090"
"26.09.2022 14:00 - 26.09.2022 15:00","7896","7864"
"26.09.2022 15:00 - 26.09.2022 16:00","7859","7814"
"26.09.2022 16:00 - 26.09.2022 17:00","7792","7649"
"26.09.2022 17:00 - 26.09.2022 18:00","7693","7619"
"26.09.2022 18:00 - 26.09.2022 19:00","7663","7719"
"26.09.2022 19:00 - 26.09.2022 20:00","7943","8045"
"26.09.2022 20:00 - 26.09.2022 21:00","7645","7754"
"26.09.2022 21:00 - 26.09.2022 22:00","7151","7218"
"26.09.2022 22:00 - 26.09.2022 23:00","6737","6796"
"26.09.2022 23:00 - 27.09.2022 00:00","6303","6396"
"27.09.2022 00:00 - 27.09.2022 01:00","5927","6127"
"27.09.2022 01:00 - 27.09.2022 02:00","5934","6094"
"27.09.2022 02:00 - 27.09.2022 03:00","5806","5899"
"27.09.2022 03:00 - 27.09.2022 04:00","5739","5830"
"27.09.2022 04:00 - 27.09.2022 05:00","5881","5958"
"27.09.2022 05:00 - 27.09.2022 06:00","6384","6497"
"27.09.2022 06:00 - 27.09.2022 07:00","7419","7552"
"27.09.2022 07:00 - 27.09.2022 08:00","7898","7984"
"27.09.2022 08:00 - 27.09.2022 09:00","8107","8131"
"27.09.2022 09:00 - 27.09.2022 10:00","8286","8189"
"27.09.2022 10:00 - 27.09.2022 11:00","8249","8154"
"27.09.2022 11:00 - 27.09.2022 12:00","8284","8172"
"27.09.2022 12:00 - 27.09.2022 13:00","8318","8227"
"27.09.2022 13:00 - 27.09.2022 14:00","8229","8122"
"27.09.2022 14:00 - 27.09.2022 15:00","8064","7972"
"27.09.2022 15:00 - 27.09.2022 16:00","8027","7853"
"27.09.2022 16:00 - 27.09.2022 17:00","7945","7744"
"27.09.2022 17:00 - 27.09.2022 18:00","7884","7724"
"27.09.2022 18:00 - 27.09.2022 19:00","7844","7648"
"27.09.2022 19:00 - 27.09.2022 20:00","8010","7908"
"27.09.2022 20:00 - 27.09.2022 21:00","7682","7509"
"27.09.2022 21:00 - 27.09.2022 22:00","7187","6954"
"27.09.2022 22:00 - 27.09.2022 23:00","6763","6484"
"27.09.2022 23:00 - 28.09.2022 00:00","6325","6099"
"28.09.2022 00:00 - 28.09.2022 01:00","5614","5716"
"28.09.2022 01:00 - 28.09.2022 02:00","5477","5637"
"28.09.2022 02:00 - 28.09.2022 03:00","5405","5611"
"28.09.2022 03:00 - 28.09.2022 04:00","5407","5624"
"28.09.2022 04:00 - 28.09.2022 05:00","5469","5640"
"28.09.2022 05:00 - 28.09.2022 06:00","5576","5760"
"28.09.2022 06:00 - 28.09.2022 07:00","5857","6100"
"28.09.2022 07:00 - 28.09.2022 08:00","6133","6421"
"28.09.2022 08:00 - 28.09.2022 09:00","6545","6786"
"28.09.2022 09:00 - 28.09.2022 10:00","6872","7128"
"28.09.2022 10:00 - 28.09.2022 11:00","7113","7361"
"28.09.2022 11:00 - 28.09.2022 12:00","7241","7536"
"28.09.2022 12:00 - 28.09.2022 13:00","7129","7438"
"28.09.2022 13:00 - 28.09.2022 14:00","7047","7288"
"28.09.2022 14:00 - 28.09.2022 15:00","6874","7130"
"28.09.2022 15:00 - 28.09.2022 16:00","6823","7058"
"28.09.2022 16:00 - 28.09.2022 17:00","6716","6930"
"28.09.2022 17:00 - 28.09.2022 18:00","6600","6753"
"28.09.2022 18:00 - 28.09.2022 19:00","6786","6916"
"28.09.2022 19:00 - 28.09.2022 20:00","7054","7195"
"28.09.2022 20:00 - 28.09.2022 21:00","6817","7047"
"28.09.2022 21:00 - 28.09.2022 22:00","6449","6704"
"28.09.2022 22:00 - 28.09.2022 23:00","6204","6455"
"28.09.2022 23:00 - 29.09.2022 00:00","5884","6126"
"29.09.2022 00:00 - 29.09.2022 01:00","5827","5925"
"29.09.2022 01:00 - 29.09.2022 02:00","5877","5940"
"29.09.2022 02:00 - 29.09.2022 03:00","5764","5778"
"29.09.2022 03:00 - 29.09.2022 04:00","5644","5703"
"29.09.2022 04:00 - 29.09.2022 05:00","5735","5875"
"29.09.2022 05:00 - 29.09.2022 06:00","6297","6391"
"29.09.2022 06:00 - 29.09.2022 07:00","7367","7552"
"29.09.2022 07:00 - 29.09.2022 08:00","7863","8048"
"29.09.2022 08:00 - 29.09.2022 09:00","8035","8203"
"29.09.2022 09:00 - 29.09.2022 10:00","8153","8264"
"29.09.2022 10:00 - 29.09.2022 11:00","8132","7977"
"29.09.2022 11:00 - 29.09.2022 12:00","8124","7898"
"29.09.2022 12:00 - 29.09.2022 13:00","8157","7883"
"29.09.2022 13:00 - 29.09.2022 14:00","8065","7812"
"29.09.2022 14:00 - 29.09.2022 15:00","7881","7666"
"29.09.2022 15:00 - 29.09.2022 16:00","7839","7623"
"29.09.2022 16:00 - 29.09.2022 17:00","7744","7483"
"29.09.2022 17:00 - 29.09.2022 18:00","7702","7543"
"29.09.2022 18:00 - 29.09.2022 19:00","7664","7650"
"29.09.2022 19:00 - 29.09.2022 20:00","7922","7909"
"29.09.2022 20:00 - 29.09.2022 21:00","7579","7547"
"29.09.2022 21:00 - 29.09.2022 22:00","7083","7013"
"29.09.2022 22:00 - 29.09.2022 23:00","6707","6525"
"29.09.2022 23:00 - 30.09.2022 00:00","6309","6134"
"30.09.2022 00:00 - 30.09.2022 01:00","6183","5879"
"30.09.2022 01:00 - 30.09.2022 02:00","6165","5917"
"30.09.2022 02:00 - 30.09.2022 03:00","6063","5769"
"30.09.2022 03:00 - 30.09.2022 04:00","5994","5684"
"30.09.2022 04:00 - 30.09.2022 05:00","6093","5753"
"30.09.2022 05:00 - 30.09.2022 06:00","6542","6158"
"30.09.2022 06:00 - 30.09.2022 07:00","7558","7228"
"30.09.2022 07:00 - 30.09.2022 08:00","8032","7661"
"30.09.2022 08:00 - 30.09.2022 09:00","8187","7941"
"30.09.2022 09:00 - 30.09.2022 10:00","8344","8100"
"30.09.2022 10:00 - 30.09.2022 11:00","8311","8003"
"30.09.2022 11:00 - 30.09.2022 12:00","8310","7941"
"30.09.2022 12:00 - 30.09.2022 13:00","8285","7899"
"30.09.2022 13:00 - 30.09.2022 14:00","8138","7745"
"30.09.2022 14:00 - 30.09.2022 15:00","7932","7532"
"30.09.2022 15:00 - 30.09.2022 16:00","7891","7545"
"30.09.2022 16:00 - 30.09.2022 17:00","7807","7496"
"30.09.2022 17:00 - 30.09.2022 18:00","7703","7467"
"30.09.2022 18:00 - 30.09.2022 19:00","7625","7455"
"30.09.2022 19:00 - 30.09.2022 20:00","7786","7656"
"30.09.2022 20:00 - 30.09.2022 21:00","7445","7231"
"30.09.2022 21:00 - 30.09.2022 22:00","6900","6760"
"30.09.2022 22:00 - 30.09.2022 23:00","6434","6360"
"30.09.2022 23:00 - 01.10.2022 00:00","5998","5975"
"01.10.2022 00:00 - 01.10.2022 01:00","5452","5570"
"01.10.2022 01:00 - 01.10.2022 02:00","5358","5439"
"01.10.2022 02:00 - 01.10.2022 03:00","5289","5470"
"01.10.2022 03:00 - 01.10.2022 04:00","5283","5502"
"01.10.2022 04:00 - 01.10.2022 05:00","5352","5499"
"01.10.2022 05:00 - 01.10.2022 06:00","5472","5531"
"01.10.2022 06:00 - 01.10.2022 07:00","5779","5825"
"01.10.2022 07:00 - 01.10.2022 08:00","6108","6077"
"01.10.2022 08:00 - 01.10.2022 09:00","6501","6447"
"01.10.2022 09:00 - 01.10.2022 10:00","6844","6780"
"01.10.2022 10:00 - 01.10.2022 11:00","6984","7010"
"01.10.2022 11:00 - 01.10.2022 12:00","7028","7132"
"01.10.2022 12:00 - 01.10.2022 13:00","6889","7037"
"01.10.2022 13:00 - 01.10.2022 14:00","6767","6941"
"01.10.2022 14:00 - 01.10.2022 15:00","6638","6948"
"01.10.2022 15:00 - 01.10.2022 16:00","6625","6939"
"01.10.2022 16:00 - 01.10.2022 17:00","6555","6893"
"01.10.2022 17:00 - 01.10.2022 18:00","6472","6742"
"01.10.2022 18:00 - 01.10.2022 19:00","6558","6781"
"01.10.2022 19:00 - 01.10.2022 20:00","6727","6861"
"01.10.2022 20:00 - 01.10.2022 21:00","6475","6568"
"01.10.2022 21:00 - 01.10.2022 22:00","6122","6209"
"01.10.2022 22:00 - 01.10.2022 23:00","5827","5996"
"01.10.2022 23:00 - 02.10.2022 00:00","5513","5700"
"02.10.2022 00:00 - 02.10.2022 01:00","5235","5380"
"02.10.2022 01:00 - 02.10.2022 02:00","5154","5254"
"02.10.2022 02:00 - 02.10.2022 03:00","5129","5254"
"02.10.2022 03:00 - 02.10.2022 04:00","5117","5214"
"02.10.2022 04:00 - 02.10.2022 05:00","5148","5204"
"02.10.2022 05:00 - 02.10.2022 06:00","5130","5248"
"02.10.2022 06:00 - 02.10.2022 07:00","5346","5423"
"02.10.2022 07:00 - 02.10.2022 08:00","5610","5676"
"02.10.2022 08:00 - 02.10.2022 09:00","6057","6116"
"02.10.2022 09:00 - 02.10.2022 10:00","6512","6531"
"02.10.2022 10:00 - 02.10.2022 11:00","6788","6765"
"02.10.2022 11:00 - 02.10.2022 12:00","6870","6880"
"02.10.2022 12:00 - 02.10.2022 13:00","6687","6781"
"02.10.2022 13:00 - 02.10.2022 14:00","6566","6708"
"02.10.2022 14:00 - 02.10.2022 15:00","6441","6539"
"02.10.2022 15:00 - 02.10.2022 16:00","6440","6561"
"02.10.2022 16:00 - 02.10.2022 17:00","6405","6557"
"02.10.2022 17:00 - 02.10.2022 18:00","6329","6527"
"02.10.2022 18:00 - 02.10.2022 19:00","6560","6799"
"02.10.2022 19:00 - 02.10.2022 20:00","6907","7037"
"02.10.2022 20:00 - 02.10.2022 21:00","6701","6831"
"02.10.2022 21:00 - 02.10.2022 22:00","6399","6474"
"02.10.2022 22:00 - 02.10.2022 23:00","6249","6315"
"02.10.2022 23:00 - 03.10.2022 00:00","5937","6031"
"03.10.2022 00:00 - 03.10.2022 01:00","5784","5804"
"03.10.2022 01:00 - 03.10.2022 02:00","5812","5869"
"03.10.2022 02:00 - 03.10.2022 03:00","5690","5741"
"03.10.2022 03:00 - 03.10.2022 04:00","5614","5687"
"03.10.2022 04:00 - 03.10.2022 05:00","5742","5837"
"03.10.2022 05:00 - 03.10.2022 06:00","6282","6358"
"03.10.2022 06:00 - 03.10.2022 07:00","7397","7599"
"03.10.2022 07:00 - 03.10.2022 08:00","7931","8053"
"03.10.2022 08:00 - 03.10.2022 09:00","8084","8229"
"03.10.2022 09:00 - 03.10.2022 10:00","8236","8252"
"03.10.2022 10:00 - 03.10.2022 11:00","8171","8173"
"03.10.2022 11:00 - 03.10.2022 12:00","8152","8164"
"03.10.2022 12:00 - 03.10.2022 13:00","8185","8275"
"03.10.2022 13:00 - 03.10.2022 14:00","8082","8282"
"03.10.2022 14:00 - 03.10.2022 15:00","7928","7969"
"03.10.2022 15:00 - 03.10.2022 16:00","7931","7737"
"03.10.2022 16:00 - 03.10.2022 17:00","7890","7759"
"03.10.2022 17:00 - 03.10.2022 18:00","7834","7755"
"03.10.2022 18:00 - 03.10.2022 19:00","7815","7807"
"03.10.2022 19:00 - 03.10.2022 20:00","8001","8005"
"03.10.2022 20:00 - 03.10.2022 21:00","7678","7629"
"03.10.2022 21:00 - 03.10.2022 22:00","7181","7123"
"03.10.2022 22:00 - 03.10.2022 23:00","6762","6725"
"03.10.2022 23:00 - 04.10.2022 00:00","6324","6333"
"04.10.2022 00:00 - 04.10.2022 01:00","6074","6061"
"04.10.2022 01:00 - 04.10.2022 02:00","6082","6074"
"04.10.2022 02:00 - 04.10.2022 03:00","5959","5960"
"04.10.2022 03:00 - 04.10.2022 04:00","5877","5899"
"04.10.2022 04:00 - 04.10.2022 05:00","5973","5957"
"04.10.2022 05:00 - 04.10.2022 06:00","6467","6446"
"04.10.2022 06:00 - 04.10.2022 07:00","7508","7617"
"04.10.2022 07:00 - 04.10.2022 08:00","8001","8048"
"04.10.2022 08:00 - 04.10.2022 09:00","8145","8201"
"04.10.2022 09:00 - 04.10.2022 10:00","8267","8326"
"04.10.2022 10:00 - 04.10.2022 11:00","8193","8196"
"04.10.2022 11:00 - 04.10.2022 12:00","8167","8152"
"04.10.2022 12:00 - 04.10.2022 13:00","8182","8134"
"04.10.2022 13:00 - 04.10.2022 14:00","8074","8130"
"04.10.2022 14:00 - 04.10.2022 15:00","7891","7910"
"04.10.2022 15:00 - 04.10.2022 16:00","7877","7812"
"04.10.2022 16:00 - 04.10.2022 17:00","7810","7776"
"04.10.2022 17:00 - 04.10.2022 18:00","7742","7705"
"04.10.2022 18:00 - 04.10.2022 19:00","7760","7755"
"04.10.2022 19:00 - 04.10.2022 20:00","8010","8096"
"04.10.2022 20:00 - 04.10.2022 21:00","7699","7757"
"04.10.2022 21:00 - 04.10.2022 22:00","7194","7230"
"04.10.2022 22:00 - 04.10.2022 23:00","6780","6842"
"04.10.2022 23:00 - 05.10.2022 00:00","6343","6474"
"05.10.2022 00:00 - 05.10.2022 01:00","6098","6206"
"05.10.2022 01:00 - 05.10.2022 02:00","6108","6214"
"05.10.2022 02:00 - 05.10.2022 03:00","5992","6089"
"05.10.2022 03:00 - 05.10.2022 04:00","5925","6023"
"05.10.2022 04:00 - 05.10.2022 05:00","6037","6131"
"05.10.2022 05:00 - 05.10.2022 06:00","6543","6596"
"05.10.2022 06:00 - 05.10.2022 07:00","7586","7764"
"05.10.2022 07:00 - 05.10.2022 08:00","8076","8153"
"05.10.2022 08:00 - 05.10.2022 09:00","8195","8215"
"05.10.2022 09:00 - 05.10.2022 10:00","8261","8310"
"05.10.2022 10:00 - 05.10.2022 11:00","8172","8188"
"05.10.2022 11:00 - 05.10.2022 12:00","8117","8172"
"05.10.2022 12:00 - 05.10.2022 13:00","8110","8155"
"05.10.2022 13:00 - 05.10.2022 14:00","7972","8076"
"05.10.2022 14:00 - 05.10.2022 15:00","7800","7932"
"05.10.2022 15:00 - 05.10.2022 16:00","7788","7858"
"05.10.2022 16:00 - 05.10.2022 17:00","7740","7715"
"05.10.2022 17:00 - 05.10.2022 18:00","7690","7737"
"05.10.2022 18:00 - 05.10.2022 19:00","7727","7781"
"05.10.2022 19:00 - 05.10.2022 20:00","7983","7966"
"05.10.2022 20:00 - 05.10.2022 21:00","7667","7623"
"05.10.2022 21:00 - 05.10.2022 22:00","7172","7145"
"05.10.2022 22:00 - 05.10.2022 23:00","6756","6730"
"05.10.2022 23:00 - 06.10.2022 00:00","6319","6373"
"06.10.2022 00:00 - 06.10.2022 01:00","6086","6101"
"06.10.2022 01:00 - 06.10.2022 02:00","6097","6148"
"06.10.2022 02:00 - 06.10.2022 03:00","5976","6013"
"06.10.2022 03:00 - 06.10.2022 04:00","5917","5954"
"06.10.2022 04:00 - 06.10.2022 05:00","6018","6079"
"06.10.2022 05:00 - 06.10.2022 06:00","6486","6594"
"06.10.2022 06:00 - 06.10.2022 07:00","7505","7751"
"06.10.2022 07:00 - 06.10.2022 08:00","7983","8145"
"06.10.2022 08:00 - 06.10.2022 09:00","8070","8252"
"06.10.2022 09:00 - 06.10.2022 10:00","8174","8277"
"06.10.2022 10:00 - 06.10.2022 11:00","8050","8138"
"06.10.2022 11:00 - 06.10.2022 12:00","8013","8162"
"06.10.2022 12:00 - 06.10.2022 13:00","8028","8190"
"06.10.2022 13:00 - 06.10.2022 14:00","7918","8102"
"06.10.2022 14:00 - 06.10.2022 15:00","7755","7927"
"06.10.2022 15:00 - 06.10.2022 16:00","7726","7811"
"06.10.2022 16:00 - 06.10.2022 17:00","7656","7690"
"06.10.2022 17:00 - 06.10.2022 18:00","7585","7605"
"06.10.2022 18:00 - 06.10.2022 19:00","7632","7755"
"06.10.2022 19:00 - 06.10.2022 20:00","7882","8056"
"06.10.2022 20:00 - 06.10.2022 21:00","7578","7728"
"06.10.2022 21:00 - 06.10.2022 22:00","7082","7172"
"06.10.2022 22:00 - 06.10.2022 23:00","6676","6765"
"06.10.2022 23:00 - 07.10.2022 00:00","6256","6392"
"07.10.2022 00:00 - 07.10.2022 01:00","6027","6139"
"07.10.2022 01:00 - 07.10.2022 02:00","6043","6133"
"07.10.2022 02:00 - 07.10.2022 03:00","5927","6022"
"07.10.2022 03:00 - 07.10.2022 04:00","5862","5942"
"07.10.2022 04:00 - 07.10.2022 05:00","5957","6066"
"07.10.2022 05:00 - 07.10.2022 06:00","6411","6505"
"07.10.2022 06:00 - 07.10.2022 07:00","7420","7668"
"07.10.2022 07:00 - 07.10.2022 08:00","7894","8064"
"07.10.2022 08:00 - 07.10.2022 09:00","7997","8162"
"07.10.2022 09:00 - 07.10.2022 10:00","8095","8171"
"07.10.2022 10:00 - 07.10.2022 11:00","8014","7977"
"07.10.2022 11:00 - 07.10.2022 12:00","7985","7948"
"07.10.2022 12:00 - 07.10.2022 13:00","7960","7887"
"07.10.2022 13:00 - 07.10.2022 14:00","7814","7804"
"07.10.2022 14:00 - 07.10.2022 15:00","7629","7633"
"07.10.2022 15:00 - 07.10.2022 16:00","7592","7551"
"07.10.2022 16:00 - 07.10.2022 17:00","7523","7465"
"07.10.2022 17:00 - 07.10.2022 18:00","7418","7390"
"07.10.2022 18:00 - 07.10.2022 19:00","7415","7471"
"07.10.2022 19:00 - 07.10.2022 20:00","7607","7669"
"07.10.2022 20:00 - 07.10.2022 21:00","7262","7285"
"07.10.2022 21:00 - 07.10.2022 22:00","6724","6786"
"07.10.2022 22:00 - 07.10.2022 23:00","6286","6303"
"07.10.2022 23:00 - 08.10.2022 00:00","5864","5934"
"08.10.2022 00:00 - 08.10.2022 01:00","5568","5571"
"08.10.2022 01:00 - 08.10.2022 02:00","5479","5447"
"08.10.2022 02:00 - 08.10.2022 03:00","5442","5442"
"08.10.2022 03:00 - 08.10.2022 04:00","5420","5422"
"08.10.2022 04:00 - 08.10.2022 05:00","5448","5445"
"08.10.2022 05:00 - 08.10.2022 06:00","5505","5467"
"08.10.2022 06:00 - 08.10.2022 07:00","5792","5744"
"08.10.2022 07:00 - 08.10.2022 08:00","6079","6043"
"08.10.2022 08:00 - 08.10.2022 09:00","6440","6476"
"08.10.2022 09:00 - 08.10.2022 10:00","6780","6815"
"08.10.2022 10:00 - 08.10.2022 11:00","6984","6999"
"08.10.2022 11:00 - 08.10.2022 12:00","7073","7081"
"08.10.2022 12:00 - 08.10.2022 13:00","6919","6933"
"08.10.2022 13:00 - 08.10.2022 14:00","6754","6798"
"08.10.2022 14:00 - 08.10.2022 15:00","6573","6711"
"08.10.2022 15:00 - 08.10.2022 16:00","6511","6638"
"08.10.2022 16:00 - 08.10.2022 17:00","6413","6515"
"08.10.2022 17:00 - 08.10.2022 18:00","6308","6388"
"08.10.2022 18:00 - 08.10.2022 19:00","6467","6622"
"08.10.2022 19:00 - 08.10.2022 20:00","6643","6749"
"08.10.2022 20:00 - 08.10.2022 21:00","6407","6509"
"08.10.2022 21:00 - 08.10.2022 22:00","6057","6213"
"08.10.2022 22:00 - 08.10.2022 23:00","5795","5919"
"08.10.2022 23:00 - 09.10.2022 00:00","5484","5593"
"09.10.2022 00:00 - 09.10.2022 01:00","5172","5174"
"09.10.2022 01:00 - 09.10.2022 02:00","5092","5071"
"09.10.2022 02:00 - 09.10.2022 03:00","5073","5091"
"09.10.2022 03:00 - 09.10.2022 04:00","5070","5099"
"09.10.2022 04:00 - 09.10.2022 05:00","5101","5057"
"09.10.2022 05:00 - 09.10.2022 06:00","5105","5069"
"09.10.2022 06:00 - 09.10.2022 07:00","5325","5299"
"09.10.2022 07:00 - 09.10.2022 08:00","5609","5568"
"09.10.2022 08:00 - 09.10.2022 09:00","6036","6020"
"09.10.2022 09:00 - 09.10.2022 10:00","6491","6403"
"09.10.2022 10:00 - 09.10.2022 11:00","6739","6678"
"09.10.2022 11:00 - 09.10.2022 12:00","6821","6791"
"09.10.2022 12:00 - 09.10.2022 13:00","6624","6596"
"09.10.2022 13:00 - 09.10.2022 14:00","6509","6482"
"09.10.2022 14:00 - 09.10.2022 15:00","6364","6375"
"09.10.2022 15:00 - 09.10.2022 16:00","6334","6316"
"09.10.2022 16:00 - 09.10.2022 17:00","6316","6294"
"09.10.2022 17:00 - 09.10.2022 18:00","6264","6312"
"09.10.2022 18:00 - 09.10.2022 19:00","6656","6700"
"09.10.2022 19:00 - 09.10.2022 20:00","6957","6987"
"09.10.2022 20:00 - 09.10.2022 21:00","6761","6781"
"09.10.2022 21:00 - 09.10.2022 22:00","6447","6501"
"09.10.2022 22:00 - 09.10.2022 23:00","6300","6384"
"09.10.2022 23:00 - 10.10.2022 00:00","6007","6064"
"10.10.2022 00:00 - 10.10.2022 01:00","5863","5895"
"10.10.2022 01:00 - 10.10.2022 02:00","5894","5914"
"10.10.2022 02:00 - 10.10.2022 03:00","5782","5774"
"10.10.2022 03:00 - 10.10.2022 04:00","5726","5722"
"10.10.2022 04:00 - 10.10.2022 05:00","5851","5868"
"10.10.2022 05:00 - 10.10.2022 06:00","6412","6423"
"10.10.2022 06:00 - 10.10.2022 07:00","7540","7687"
"10.10.2022 07:00 - 10.10.2022 08:00","8057","8119"
"10.10.2022 08:00 - 10.10.2022 09:00","8183","8190"
"10.10.2022 09:00 - 10.10.2022 10:00","8270","8272"
"10.10.2022 10:00 - 10.10.2022 11:00","8196","8042"
"10.10.2022 11:00 - 10.10.2022 12:00","8157","7994"
"10.10.2022 12:00 - 10.10.2022 13:00","8176","7959"
"10.10.2022 13:00 - 10.10.2022 14:00","8057","7901"
"10.10.2022 14:00 - 10.10.2022 15:00","7857","7709"
"10.10.2022 15:00 - 10.10.2022 16:00","7827","7649"
"10.10.2022 16:00 - 10.10.2022 17:00","7763","7564"
"10.10.2022 17:00 - 10.10.2022 18:00","7738","7584"
